296,794
265,550
337,566
427,859
117,810
432,974
155,446
336,848
919,940
121,542
499,744
895,982
148,806
757,850
325,439
129,802
340,827
398,670
491,907
33,276
473,709
33,541
203,714
730,883
99,751
515,558
199,200
166,926
335,380
54,227
143,942
268,973
338,489
242,930
366,471
642,891
396,997
689,832
365,1000
628,974
348,709
5,864
15,658
115,596
114,115
629,826
641,809
507,967
199,860
296,384
75,928
289,762
184,844
511,546
181,829
514,737
99,220
153,429
834,836
789,932
40,408
308,735
288,766
9,686
42,872
479,873
14,535
78,538
162,290
217,989
95,209
14,135
826,962
40,956
786,907
321,557
902,957
62,77
56,909
376,609
325,536
175,628
582,866
253,529
31,345
461,823
302,799
459,652
579,717
232,362
162,950
595,679
367,910
846,926
929,942
194,344
577,890
70,821
99,857
307,895
118,461
61,354
54,553
795,816
157,547
344,791
232,748
521,698
6,679
191,841
688,713
764,977
150,827
348,891
170,485
354,971
307,472
218,961
176,803
1,447
729,866
10,523
454,518
196,659
805,852
633,907
194,698
111,691
110,228
414,994
23,834
67,114
686,769
157,178
147,384
396,698
153,162
411,835
292,744
7,593
469,538
35,682
8,576
251,581
80,415
373,588
124,131
34,741
457,685
735,797
125,697
122,206
562,707
640,806
667,998
553,887
213,846
35,650
547,691
87,715
414,454
14,227
271,783
606,624
768,933
363,646
162,894
333,465
500,880
458,883
130,560
4,155
559,566
182,826
81,923
209,700
203,629
520,821
261,719
305,515
254,442
472,521
48,611
527,627
72,74
91,173
269,466
363,897
30,193
61,684
957,961
701,892
466,580
182,583
426,791
60,477
931,945
358,656
640,872
200,893
621,877
335,672
23,693
52,729
646,821
634,676
432,879
450,775
85,515
440,563
339,898
295,343
28,893
577,797
572,639
751,870
482,983
262,422
661,805
276,344
751,964
26,977
261,453
82,976
109,850
2,220
388,939
609,907
373,532
97,219
143,1000
474,700
33,985
542,853
453,497
461,599
360,943
715,762
236,517
675,735
515,984
525,885
380,823
743,973
601,880
459,558
191,249
669,678
490,774
352,831
367,969
314,548
458,589
720,836
51,94
357,793
448,651
376,681
157,377
534,840
363,720
489,716
440,674
448,925
740,935
208,535
90,561
102,953
31,264
177,821
69,879
143,837
56,540
107,524
2,569
46,514
669,794
387,816
132,944
45,796
154,474
652,827
319,788
572,736
683,823
550,797
342,786
325,953
87,514
12,749
359,555
583,610
76,504
541,622
413,702
439,849
97,325
595,687
423,602
756,888
126,882
232,244
321,340
47,427
580,689
316,481
525,1000
291,406
320,869
647,855
474,518
57,504
167,403
123,952
131,547
178,668
196,802
538,831
207,286
189,497
271,325
855,861
104,822
90,420
433,741
5,443
268,417
484,981
285,744
101,923
623,730
9,944
548,736
150,830
81,959
724,916
150,839
605,974
6,556
837,951
494,737
495,702
75,363
615,874
14,505
627,876
618,638
743,898
173,269
405,939
307,367
418,887
207,685
699,720
75,246
729,770
275,420
749,986
6,951
451,902
802,858
962,977
59,423
558,735
98,225
466,746
256,280
863,958
331,948
364,896
38,94
7,982
96,175
36,789
107,840
60,499
189,985
513,588
283,293
426,696
280,898
447,508
639,678
326,456
630,858
39,691
63,747
128,876
668,759
10,246
88,422
538,631
502,708
407,974
726,849
323,962
178,733
18,613
666,825
137,561
220,348
348,744
130,311
58,929
310,488
84,838
449,921
226,504
480,936
324,935
761,936
418,710
475,686
228,976
110,346
277,432
149,521
830,919
328,672
453,932
95,330
227,458
218,647
563,938
813,951
795,924
342,957
201,451
368,439
124,487
9,357
114,711
458,759
263,938
7,823
55,216
582,645
82,615
13,503
705,990
262,429
432,742
856,899
206,915
328,761
404,778
416,743
719,753
553,879
71,974
639,928
47,360
572,996
111,799
461,503
602,637
829,917
144,814
460,553
12,942
519,611
131,862
172,503
894,930
98,703
16,750
248,736
383,799
479,934
205,649
62,502
675,845
511,575
153,876
199,336
274,766
255,524
117,950
114,130
297,926
592,694
78,720
247,916
287,485
537,996
7,40
99,114
471,660
716,985
106,656
152,534
558,655
394,970
709,991
195,779
221,270
388,774
154,845
73,771
814,900
